utr,value_date,posting_date,description,credit_amount,debit_amount,closing_balance,bank_ref_no,transaction_type
z51DplhNMIVEMJJMNlwOx3,23-07-2026,23-07-2026,NEFT-SETL-AMAZON RETAIL-986430951929-setl_BFHQHhb9FTKniJ-BATCH34,19258.35,,318815.45,TTPMVKHX,SETTLEMENT
zFYnD0wl3Oeb95t4tix9s,24-07-2026,24-07-2026,UPI-SETL-URBAN COMPANY-662151063752-setl_4lDLLswsLA0INP-BATCH12,292.87,,690415.83,662151063752,SETTLEMENT
Z3W2YVkde5UeaH4SwmpXW,30-07-2026,30-07-2026,UPI-SETL-AMAZON RETAIL-304730618735-setl_8wudG0vOV7YYbW-BATCH28,69.52,,779512.97,304730618735,SETTLEMENT
N1yeWUKOnIRzhoPEXbox0W,26-07-2026,26-07-2026,UPI-SETL-LENSKART SOLUTIONS-177526365644-setl_AAVCo3Jxe9QD6j-BATCH75,27.45,,342232.75,177526365644,SETTLEMENT
rcTMD9hDTzLtYb2zVc,25-07-2026,25-07-2026,IMPS-SETL-INNOVATIVE RETAIL CONCEPTS-BATCH15,582.21,,484934.84,PKOJHZFH,SETTLEMENT
hG5ytDPuLcVDa0cTutOh49,23-07-2026,23-07-2026,UPI-SETL-FLIPKART INTERNET-102432910464-setl_X3elxQeTCj21jA-BATCH55,290.99,,524996.11,102432910464,SETTLEMENT
zDkvPqvjj474lIhWCxnzz,09-08-2026,09-08-2026,UPI-SETL-BUNDL TECHNOLOGIES-389064774725-setl_fC1IzyD52FOyyt-BATCH70,584.72,,622748.90,CKULRSPD,SETTLEMENT
l7QVc8ar8LYGAmwZaR7,21-08-2026,21-08-2026,IMPS-SETL-URBANCLAP-601648377247-setl_D3iAJboBpPlfaW-BATCH79,68.79,,715386.21,WDDCLAGI,SETTLEMENT
1mF1dJnXM5gd9Af24gf,29-07-2026,29-07-2026,NEFT-SETL-DELIGHTFUL GOURMET-818814094570-setl_C71l8PCLVWlCuY-BATCH66,275.12,,329364.52,818814094570,SETTLEMENT
3HTA27ebzG0by8sfh6RUS,26-07-2026,26-07-2026,NEFT-SETL-ZOMATO LIMITED-994253652016-setl_07SrNWgGeG7Yu0-BATCH25,,9723.03,670547.91,994253652016,CHARGEBACK
2X0mth7nfvayyxtKfScN,29-07-2026,29-07-2026,NEFT-SETL-INNOVATIVE RETAIL CONCEPTS-BATCH38,12648.64,,901557.90,488026336985,SETTLEMENT
5SoujuDozmOq2VQWbpxU1,23-07-2026,23-07-2026,IMPS-SET,581.71,,410879.54,,SETTLEMENT
9GL85FGCSIzq17kaQ,23-07-2026,23-07-2026,UPI-SETL-CUREFIT HEALTHCARE-560403427422-setl_tJ2lkQXoS7e46r-BATCH84,583.60,,640303.75,560403427422,SETTLEMENT
2fDcpOkN3Fo4Eupp,29-07-2026,29-07-2026,NEFT-SETL-AMAZON RETAIL-550881789518-setl_O9OdMoJRKVGsSy-BATCH5,193.51,,988370.82,550881789518,SETTLEMENT
JOf0J49CLK60tALyK,20-08-2026,20-08-2026,NEFT-SETL-BUNDL TECHNOLOGIES-857121674105-setl_7FlPICPMT5HNU7-BATCH90,11217.76,,807353.69,OYFMAYCI,SETTLEMENT
l7ll7QuW80xUrIKaEES,07-08-2026,07-08-2026,UPI-SETL-URBAN COMPANY-289013766338-setl_MygT3qMQ2ZoY9M-BATCH51,339.77,,910843.64,289013766338,SETTLEMENT
izPCYBnXWC1PoM8cC,17-08-2026,17-08-2026,CHGBK-DISPUTE-266279330452,,2999.00,443597.39,,CHARGEBACK
3ysYjH4lbKnZ0khhF2F,08-08-2026,08-08-2026,NEFT-SETL-URBAN COMPANY-750783531627-setl_lCA2lbnsarhtEN-BATCH46,1100.03,,191989.23,TBCCEYNL,SETTLEMENT
HjhTBHaxddunlDRlW,19-08-2026,19-08-2026,NEFT-SETL-FSN E-COMMERCE-148788002620-setl_Pg5VY7Mjt0GiiX-BATCH34,0.97,,362639.66,148788002620,SETTLEMENT
Ixgf6Db1Sn63D4iUc5eMLU,02-08-2026,02-08-2026,UPI-SETL-URBAN COMPANY-95297979766,1054.65,,125573.19,952979797667,SETTLEMENT
wtRipB5O06WiOt4fb,29-07-2026,30-07-2026,IMPS-SETL-URBAN COMPANY-390370792378-setl_hhC4ELpbmTUH1b-BATCH48,,2487.80,784603.01,390370792378,CHARGEBACK
ooQV5ys7mhxs9kycHYzPBH,12-08-2026,12-08-2026,UPI-SETL-ZOMATO LIMITED-489002674039-setl_6lbhfQ1hnDnroL-BATCH90,11405.35,,681738.01,489002674039,SETTLEMENT
gDXMSY1RZFi7h3OMy2m5Lz,08-08-2026,08-08-2026,IMPS-SETL-BIGTREE ENTERTAINMENT-931686220287-setl_3XRhEYvmQ9JUmq-BATCH52,485.52,,461358.14,STVIOEZF,SETTLEMENT
vnZZFUEekhHQNGSH2,02-08-2026,02-08-2026,NEFT-SETL-BUNDL TECHNOLOGIES-190693114804-setl_bqoSR3YvjcrnPR-BATCH45,1455.07,,356268.29,190693114804,SETTLEMENT
J8LX6NdKaYdg1kuGDkmHyR,30-07-2026,30-07-2026,UPI-SETL-ZOMATO LIMITED-824957667212-setl_1rECGd,4677.98,,746476.27,824957667212,SETTLEMENT
ubEXGC13mESL5YW0wblo,01-08-2026,01-08-2026,UPI-SETL-CUREFIT HEALTHCARE-384363712502-setl_fbp8z67qlbbdbu-BATCH13,970.19,,787914.73,QQEYRXVQ,SETTLEMENT
84EHBGMj7EheaFK0Awn4T,29-07-2026,29-07-2026,IMPS-SETL-AMAZON RETAIL-344063635279-setl_Mt9eumdqarnKxZ-BATCH93,775.45,,761488.99,344063635279,SETTLEMENT
k1yI27dpkIESD9IP0Z0EKZ,29-07-2026,30-07-2026,NEFT-SETL-MYNTRA JABONG-784608862944-setl_FIai7hUIsy7YbF-BATCH53,680.37,,415518.50,GAGRPVGX,SETTLEMENT
fyYvrp2Ze4qJ8ixREEYp,03-08-2026,03-08-2026,NEFT-SETL-BIGTREE ENTERTAINMENT-705612127743-setl_pDcG55a2v6MBbP-BATCH53,12679.66,,230133.80,QEBTTDTJ,SETTLEMENT
A4JvYk8kJNhIFhtUBTaejC,31-07-2026,31-07-2026,NEFT-SETL-BMS TICKETS-382849811823-setl_08gnZLPqEpkRVB-BATCH3,5853.53,,303836.48,CWZFUEHB,SETTLEMENT
aHPiOI2ma5ehSbhLQCT,03-08-2026,03-08-2026,UPI-SETL-INNOVATIVE RETAIL CONCEPTS-750067386317-setl_c09g6yQRjOazgG-BATCH84,210921.21,,317664.79,750067386317,SETTLEMENT
xqb45JBEtjjjMQb9cyE0,13-08-2026,13-08-2026,UPI-SETL-MAKEMYTRIP INDIA-103898169030-setl_8C7KirPK6RYqjL-BATCH49,14918.66,,187226.75,103898169030,SETTLEMENT
g46pzKh7E59HWOZCqTx,20-08-2026,20-08-2026,UPI-SETL-DELIGHTFUL GOURMET-161955933764-setl_YiNl70StQw0wzJ-BATCH58,37.04,,943522.17,BCSEGDUP,SETTLEMENT
8ja2A4glTGo78rDfsP,27-07-2026,27-07-2026,IMPS-SETL-AMAZON RETAIL-BATCH78,679.04,,329661.92,WDNRPBQU,SETTLEMENT
HDvVWQysIpb9fH3PCKlWT7,16-08-2026,17-08-2026,IMPS-SETL-MYNTRA DESIGNS-607035239983-setl_IjtnllIQQ2R0Pu-BATCH20,473.72,,113858.60,607035239983,SETTLEMENT
Yyy4QwRHClxE9tZtqqe35n,13-08-2026,14-08-2026,IMPS-SETL-INNOVATIVE RETAIL CONCEPTS-620459123953-setl_GbG5PfvYhTRo0G-BATCH28,306759.88,,196354.13,620459123953,SETTLEMENT
yMvo4SwANOM2yusxI,29-07-2026,29-07-2026,CHGBK-DISPUTE-671873061840,,2724.19,775233.42,,CHARGEBACK
