entry_id,invoice_no,gateway_ref,customer_name,gross_amount,discount,tax_amount,net_amount,entry_date,account_code,posted_by,memo,status
JE-000122,INV/2026/00122,pay_d171kAYRYXX9L8,BIGTREE ENTERTAINMENT,625.50,0.00,0.00,625.50,07/26/2026,4853,accounts_team,,posted
JE-000191,INV/2026/00191,pay_vInRnP0rtKx2jj,URBAN COMPANY,2557.06,0.00,0.00,2557.06,08/06/2026,4918,accounts_team,,posted
JE-000134,INV/2026/00134,pay_9aHhKO0JE3PDkU,ZOMATO LIMITED,1487.94,0.00,0.00,1487.94,08/12/2026,4191,accounts_team,,posted
JE-000259,INV/2026/00259,pay_nqvm1lsUERAOpq,BIGTREE ENTERTAINMENT,107.21,0.00,0.00,107.21,08/07/2026,4095,batch_import,,posted
JE-000192,INV/2026/00192,pay_92kdSUskGQRaVJ,ZOMATO LIMITED,154.77,0.00,0.00,154.77,08/14/2026,4777,batch_import,,posted
JE-000077,INV/2026/00077,,INNOVATIVE RETAIL CONCEPTS,111787.44,0.00,0.00,111787.44,07/24/2026,4390,sysuser,,posted
JE-000267,INV/2026/00267,pay_KdUp9tvy0m0NlH,AMAZON RETAIL,29.89,0.00,0.00,29.89,08/17/2026,4310,batch_import,,posted
JE-000209,INV/2026/00209,pay_g5ESkeOsFDDmLk,ZOMATO LIMITED,11751.54,0.00,0.00,11751.54,08/11/2026,4528,sysuser,,posted
JE-000201,INV/2026/00201,pay_9mz8Pnn2TNS9H1,BIGTREE ENTERTAINMENT,4999.00,0.00,0.00,4999.00,08/11/2026,4520,batch_import,,posted
JE-000049,INV/2026/00049,pay_HHzwAzqYRAdvc3,INNOVATIVE RETAIL CONCEPTS,488811.15,0.00,0.00,488811.15,08/20/2026,4172,sysuser,,posted
JE-000185,INV/2026/00185,pay_jejXenL032jPtW,MYNTRA DESIGNS,144.96,0.00,0.00,144.96,08/04/2026,4907,accounts_team,,posted
